,layers,layers_config,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
1,[1024],"[(1024, 'relu')]",0.9,64,0.01,0.2,1.171,0.7122,25
2,[1024],"[(1024, 'relu')]",0.95,64,0.01,0.25,1.1954,0.7163,24
3,[512],"[(512, 'relu')]",0.95,64,0.01,0.2,1.2102,0.7144,23
4,[512],"[(512, 'relu')]",0.9,64,0.01,0.25,1.2158,0.6944,26
5,[512],"[(512, 'relu')]",0.95,64,0.01,0.25,1.2177,0.7111,32
6,[1024],"[(1024, 'relu')]",0.9,64,0.01,0.25,1.2255,0.7033,27
7,[1024],"[(1024, 'relu')]",0.9,64,0.01,0.15,1.228,0.7083,39
8,[1024],"[(1024, 'relu')]",0.95,64,0.01,0.2,1.2333,0.7068,25
9,[1024],"[(1024, 'relu')]",0.96,64,0.01,0.25,1.2351,0.7115,26
10,[1024],"[(1024, 'relu')]",0.95,64,0.01,0.15,1.245,0.7105,33
11,[1024],"[(1024, 'relu')]",0.96,64,0.01,0.15,1.2572,0.6951,32
12,[512],"[(512, 'relu')]",0.975,64,0.01,0.1,1.2607,0.7005,33
13,[1024],"[(1024, 'relu')]",0.96,256,0.01,0.25,1.2638,0.7003,31
14,[1024],"[(1024, 'relu')]",0.95,64,0.01,0.1,1.2657,0.7013,41
15,[512],"[(512, 'relu')]",0.9,64,0.01,0.2,1.2696,0.6946,40
16,[512],"[(512, 'relu')]",0.975,64,0.01,0.25,1.2731,0.7057,34
17,[512→128],"[(512, 'relu'), (128, 'relu')]",0.9,64,0.01,0.25,1.2735,0.7026,26
18,[512],"[(512, 'relu')]",0.96,64,0.01,0.2,1.2748,0.695,29
19,[512],"[(512, 'relu')]",0.9,64,0.01,0.15,1.2754,0.693,31
20,[256],"[(256, 'relu')]",0.96,64,0.01,0.25,1.2774,0.6965,25
21,[256],"[(256, 'relu')]",0.96,64,0.01,0.2,1.2844,0.6826,26
22,[1024],"[(1024, 'relu')]",0.975,256,0.01,0.15,1.285,0.7031,52
23,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,64,0.01,0.25,1.2871,0.6992,34
24,[1024],"[(1024, 'relu')]",0.975,256,0.01,0.2,1.2891,0.6963,46
25,[512],"[(512, 'relu')]",0.96,64,0.01,0.25,1.2952,0.6907,30
26,[512],"[(512, 'relu')]",0.9,256,0.01,0.2,1.2996,0.6884,18
27,[1024],"[(1024, 'relu')]",0.96,64,0.01,0.1,1.3033,0.7079,29
28,[1024],"[(1024, 'relu')]",0.9,64,0.01,0.1,1.3046,0.703,31
29,[1024],"[(1024, 'relu')]",0.96,256,0.01,0.2,1.3049,0.6952,43
30,[1024],"[(1024, 'relu')]",0.9,512,0.01,0.2,1.3057,0.6858,16
31,[512],"[(512, 'relu')]",0.975,256,0.01,0.25,1.3086,0.6984,38
32,[512],"[(512, 'relu')]",0.96,64,0.01,0.15,1.3106,0.6935,33
33,[256],"[(256, 'relu')]",0.95,64,0.01,0.25,1.3125,0.6842,30
34,[256],"[(256, 'relu')]",0.9,64,0.01,0.25,1.315,0.6768,25
35,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.95,64,0.01,0.2,1.3151,0.6967,29
36,[1024],"[(1024, 'relu')]",0.95,256,0.01,0.2,1.3164,0.6994,49
37,[512],"[(512, 'relu')]",0.96,256,0.01,0.25,1.3168,0.693,42
38,[1024],"[(1024, 'relu')]",0.975,256,0.01,0.25,1.3188,0.6866,35
39,[1024],"[(1024, 'relu')]",0.9,256,0.01,0.2,1.3224,0.681,16
40,[1024],"[(1024, 'relu')]",0.95,256,0.01,0.25,1.3227,0.703,15
41,[256],"[(256, 'relu')]",0.96,64,0.01,0.15,1.3266,0.6971,35
42,[1024],"[(1024, 'relu')]",0.975,64,0.01,0.1,1.3277,0.7106,36
43,[1024],"[(1024, 'relu')]",0.9,256,0.01,0.25,1.3287,0.6907,17
44,[512],"[(512, 'relu')]",0.96,64,0.01,0.1,1.3334,0.7064,28
45,[512],"[(512, 'relu')]",0.95,64,0.01,0.15,1.3394,0.705,36
46,[256],"[(256, 'relu')]",0.9,64,0.01,0.2,1.3394,0.6802,27
47,[1024],"[(1024, 'relu')]",0.95,512,0.01,0.2,1.3418,0.6983,17
48,[1024],"[(1024, 'relu')]",0.975,512,0.01,0.2,1.3434,0.7014,17
49,[256],"[(256, 'relu')]",0.975,64,0.01,0.2,1.3443,0.6877,32
50,[512],"[(512, 'relu')]",0.95,256,0.01,0.25,1.3463,0.6832,14
51,[512],"[(512, 'relu')]",0.9,256,0.01,0.15,1.3467,0.691,15
52,[1024],"[(1024, 'relu')]",0.9,512,0.01,0.25,1.3525,0.6874,18
53,[1024],"[(1024, 'relu')]",0.9,512,0.01,0.15,1.3535,0.6878,19
54,[512],"[(512, 'relu')]",0.975,256,0.01,0.2,1.3545,0.7064,40
55,[1024],"[(1024, 'relu')]",0.9,256,0.01,0.1,1.3549,0.6822,15
56,[1024],"[(1024, 'relu')]",0.95,512,0.01,0.25,1.3556,0.6846,18
57,[512],"[(512, 'relu')]",0.9,64,0.01,0.1,1.3568,0.7041,29
58,[512],"[(512, 'relu')]",0.96,256,0.01,0.15,1.3575,0.6949,57
59,[512],"[(512, 'relu')]",0.95,256,0.01,0.15,1.3579,0.683,16
60,[512],"[(512, 'relu')]",0.95,64,0.01,0.1,1.3588,0.6911,30
61,[512],"[(512, 'relu')]",0.9,256,0.01,0.25,1.3593,0.6848,16
62,[1024],"[(1024, 'relu')]",0.975,64,0.01,0.25,1.361,0.6918,23
63,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,64,0.01,0.2,1.3654,0.6861,29
64,[1024],"[(1024, 'relu')]",0.96,512,0.01,0.25,1.3659,0.6839,18
65,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.975,256,0.01,0.25,1.3661,0.6877,38
66,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,64,0.01,0.25,1.3696,0.6864,29
67,[1024],"[(1024, 'relu')]",0.9,256,0.01,0.15,1.3697,0.7017,17
68,[1024],"[(1024, 'relu')]",0.975,512,0.01,0.25,1.37,0.6768,18
69,[1024],"[(1024, 'relu')]",0.95,512,0.01,0.15,1.371,0.6919,18
70,[256],"[(256, 'relu')]",0.95,64,0.01,0.2,1.3728,0.6869,29
71,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.9,512,0.01,0.25,1.3765,0.6795,26
72,[512→128],"[(512, 'relu'), (128, 'relu')]",0.975,64,0.01,0.25,1.3769,0.7133,52
73,[1024],"[(1024, 'relu')]",0.9,512,0.01,0.1,1.3772,0.6873,19
74,[512],"[(512, 'relu')]",0.9,512,0.01,0.25,1.3783,0.6693,18
75,[512],"[(512, 'relu')]",0.96,512,0.01,0.25,1.3797,0.679,17
76,[256],"[(256, 'relu')]",0.95,64,0.01,0.15,1.3807,0.6804,35
77,[1024],"[(1024, 'relu')]",0.96,256,0.01,0.1,1.3812,0.6875,14
78,[1024],"[(1024, 'relu')]",0.95,256,0.01,0.1,1.3815,0.694,14
79,[256],"[(256, 'relu')]",0.975,256,0.01,0.25,1.3821,0.6719,43
80,[256],"[(256, 'relu')]",0.9,64,0.01,0.15,1.3838,0.6786,29
