,layers,layers_config,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
1,[512],"[(512, 'relu')]",0.97,64,0.01,0.1,1.356,0.6914,31
2,[512],"[(512, 'relu')]",0.99,256,0.01,0.1,1.4046,0.692,18
3,[256],"[(256, 'relu')]",0.97,64,0.01,0.1,1.4062,0.6918,30
4,[1024],"[(1024, 'relu')]",0.97,256,0.01,0.1,1.4173,0.6803,14
5,[1024],"[(1024, 'relu')]",0.99,256,0.01,0.1,1.4234,0.6992,15
6,[512],"[(512, 'relu')]",0.97,256,0.01,0.1,1.4306,0.6853,15
7,[1024],"[(1024, 'relu')]",0.97,64,0.01,0.1,1.4515,0.6656,34
8,[1024],"[(1024, 'relu')]",0.97,512,0.01,0.1,1.4541,0.6979,18
9,[1024],"[(1024, 'relu')]",0.995,256,0.01,0.1,1.4546,0.6815,14
10,[1024],"[(1024, 'relu')]",0.995,512,0.01,0.1,1.4734,0.6919,16
11,[256],"[(256, 'relu')]",0.97,512,0.01,0.1,1.4753,0.6718,19
12,[1024],"[(1024, 'relu')]",0.97,512,0.01,0.001,1.5019,0.6836,15
13,[1024],"[(1024, 'relu')]",0.99,256,0.01,0.001,1.5072,0.6953,14
14,[1024],"[(1024, 'relu')]",0.995,512,0.01,0.01,1.5265,0.6881,15
15,[512],"[(512, 'relu')]",0.97,512,0.01,0.1,1.5325,0.672,19
16,[512],"[(512, 'relu')]",0.995,256,0.01,0.1,1.5347,0.6809,13
17,[1024],"[(1024, 'relu')]",0.97,512,0.01,0.01,1.5373,0.6699,17
18,[1024],"[(1024, 'relu')]",0.99,512,0.01,0.001,1.5377,0.694,15
19,[1024],"[(1024, 'relu')]",0.99,512,0.01,0.1,1.5378,0.676,14
20,[512],"[(512, 'relu')]",0.995,512,0.01,0.1,1.5465,0.6756,15
21,[512],"[(512, 'relu')]",0.97,256,0.01,0.01,1.5554,0.7013,15
22,[1024],"[(1024, 'relu')]",0.99,512,0.01,0.01,1.5651,0.6741,17
23,[256],"[(256, 'relu')]",0.97,256,0.01,0.1,1.5651,0.666,16
24,[256],"[(256, 'relu')]",0.995,256,0.01,0.1,1.5668,0.6612,15
25,[1024],"[(1024, 'relu')]",0.97,256,0.01,0.001,1.5668,0.6985,14
26,[1024],"[(1024, 'relu')]",0.97,256,0.01,0.01,1.567,0.6856,15
27,[512],"[(512, 'relu')]",0.97,256,0.01,0.001,1.5676,0.6901,14
28,[256],"[(256, 'relu')]",0.99,256,0.01,0.1,1.5741,0.6712,15
29,[512],"[(512, 'relu')]",0.99,512,0.01,0.1,1.5747,0.6721,16
30,[512],"[(512, 'relu')]",0.97,512,0.01,0.01,1.5768,0.6825,16
31,[1024],"[(1024, 'relu')]",0.99,256,0.01,0.01,1.5821,0.6961,14
32,[512],"[(512, 'relu')]",0.97,512,0.01,0.001,1.5852,0.6606,16
33,[512],"[(512, 'relu')]",0.99,512,0.01,0.001,1.5856,0.6723,15
34,[1024],"[(1024, 'relu')]",0.97,64,0.01,0.01,1.5914,0.7053,12
35,[1024],"[(1024, 'relu')]",0.99,64,0.01,0.1,1.601,0.6734,12
36,[1024],"[(1024, 'relu')]",0.995,256,0.01,0.001,1.6012,0.6836,13
37,[1024],"[(1024, 'relu')]",0.995,256,0.01,0.01,1.6026,0.6852,14
38,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,64,0.01,0.1,1.607,0.6907,15
39,[512],"[(512, 'relu')]",0.995,512,0.01,0.01,1.6096,0.678,16
40,[128],"[(128, 'relu')]",0.97,64,0.01,0.1,1.6104,0.6545,16
41,[512],"[(512, 'relu')]",0.99,256,0.01,0.001,1.615,0.6849,15
42,[1024],"[(1024, 'relu')]",0.995,512,0.01,0.001,1.6205,0.6774,16
43,[512],"[(512, 'relu')]",0.995,256,0.01,0.01,1.6205,0.687,14
44,[512],"[(512, 'relu')]",0.99,64,0.01,0.1,1.6249,0.6517,12
45,[128],"[(128, 'relu')]",0.995,64,0.01,0.1,1.6256,0.6515,14
46,[256],"[(256, 'relu')]",0.99,512,0.01,0.01,1.6381,0.6623,16
47,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.97,512,0.01,0.1,1.6382,0.6652,21
48,[512],"[(512, 'relu')]",0.995,512,0.01,0.001,1.6437,0.6693,15
49,[256],"[(256, 'relu')]",0.97,512,0.01,0.01,1.6533,0.6653,17
50,[256],"[(256, 'relu')]",0.995,512,0.01,0.1,1.655,0.6573,19
51,[512],"[(512, 'relu')]",0.995,256,0.01,0.001,1.6559,0.6627,14
52,[256],"[(256, 'relu')]",0.97,512,0.01,0.001,1.6575,0.6509,15
53,[256],"[(256, 'relu')]",0.99,512,0.01,0.1,1.6593,0.6567,18
54,[256],"[(256, 'relu')]",0.995,512,0.01,0.001,1.6629,0.6597,16
55,[512],"[(512, 'relu')]",0.99,512,0.01,0.01,1.6646,0.6797,17
56,[512],"[(512, 'relu')]",0.99,256,0.01,0.01,1.6674,0.6867,14
57,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,512,0.01,0.1,1.674,0.671,19
58,[128],"[(128, 'relu')]",0.99,256,0.01,0.1,1.6742,0.6276,16
59,[128],"[(128, 'relu')]",0.97,256,0.01,0.1,1.6747,0.6484,16
60,[256],"[(256, 'relu')]",0.99,256,0.01,0.001,1.6835,0.6522,13
61,[256],"[(256, 'relu')]",0.97,256,0.01,0.01,1.6902,0.6583,17
