,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
1,[512],"[(512, 'gelu')]",0.3,0.95,258,0.01,0.25,1.1895,0.7071,83
2,[1024],"[(1024, 'gelu')]",0.1,0.975,258,0.01,0.25,1.1914,0.7158,62
3,[512],"[(512, 'silu')]",0.3,0.9,258,0.01,0.25,1.2033,0.7224,66
4,[1024],"[(1024, 'gelu')]",0.1,0.9,258,0.01,0.25,1.2071,0.6917,61
5,[512],"[(512, 'silu')]",0.3,0.95,258,0.01,0.25,1.2136,0.7132,69
6,[1024],"[(1024, 'leaky_relu')]",0.1,0.9,258,0.01,0.25,1.2192,0.708,42
7,[512],"[(512, 'gelu')]",0.1,0.975,258,0.01,0.25,1.2213,0.7114,39
8,[512],"[(512, 'gelu')]",0.1,0.9,258,0.01,0.2,1.2226,0.7031,58
9,[512],"[(512, 'gelu')]",0.5,0.975,258,0.01,0.25,1.2271,0.7085,75
10,[512],"[(512, 'gelu')]",0.3,0.9,512,0.01,0.25,1.2382,0.7186,82
11,[1024],"[(1024, 'leaky_relu')]",0.1,0.96,258,0.01,0.25,1.2437,0.7096,53
12,[1024],"[(1024, 'silu')]",0.5,0.95,512,0.01,0.25,1.2466,0.7108,19
13,[1024],"[(1024, 'silu')]",0.3,0.96,258,0.01,0.25,1.251,0.7077,51
14,[1024],"[(1024, 'silu')]",0.3,0.95,258,0.01,0.25,1.2531,0.712,28
15,[1024],"[(1024, 'leaky_relu')]",0.5,0.96,512,0.01,0.25,1.2548,0.6916,20
16,[512],"[(512, 'gelu')]",0.1,0.975,512,0.01,0.25,1.2589,0.7083,64
17,[1024],"[(1024, 'gelu')]",0.1,0.95,258,0.01,0.2,1.2612,0.6974,41
18,[1024],"[(1024, 'gelu')]",0.3,0.975,512,0.01,0.25,1.2622,0.7014,43
19,[512],"[(512, 'silu')]",0.5,0.96,258,0.01,0.25,1.2637,0.6919,22
20,[1024],"[(1024, 'gelu')]",0.1,0.95,512,0.01,0.25,1.2658,0.6978,74
21,[512],"[(512, 'leaky_relu')]",0.1,0.95,258,0.01,0.2,1.2674,0.7019,77
22,[1024],"[(1024, 'gelu')]",0.5,0.96,512,0.01,0.2,1.2674,0.6989,19
23,[1024],"[(1024, 'leaky_relu')]",0.1,0.975,258,0.01,0.2,1.2679,0.696,40
24,[1024],"[(1024, 'leaky_relu')]",0.5,0.9,512,0.01,0.25,1.2681,0.7105,30
25,[1024],"[(1024, 'gelu')]",0.3,0.95,512,0.01,0.25,1.2686,0.7181,22
26,[1024],"[(1024, 'silu')]",0.5,0.96,512,0.01,0.25,1.2734,0.7034,19
27,[1024],"[(1024, 'silu')]",0.3,0.9,258,0.01,0.15,1.2735,0.7174,53
28,[512],"[(512, 'silu')]",0.5,0.96,512,0.01,0.15,1.2761,0.714,18
29,[512],"[(512, 'leaky_relu')]",0.5,0.975,512,0.01,0.25,1.2771,0.6874,28
30,[1024],"[(1024, 'gelu')]",0.5,0.95,512,0.01,0.25,1.2775,0.6907,20
31,[512],"[(512, 'gelu')]",0.5,0.95,512,0.01,0.25,1.2775,0.6958,25
32,[1024],"[(1024, 'silu')]",0.5,0.96,258,0.01,0.2,1.2787,0.6898,19
33,[1024],"[(1024, 'silu')]",0.5,0.96,512,0.01,0.15,1.2787,0.7121,22
34,[512],"[(512, 'leaky_relu')]",0.1,0.96,512,0.01,0.25,1.2796,0.7077,63
35,[1024],"[(1024, 'silu')]",0.3,0.975,258,0.01,0.25,1.2797,0.6972,30
36,[1024],"[(1024, 'gelu')]",0.1,0.975,512,0.01,0.25,1.2797,0.6989,46
37,[512],"[(512, 'gelu')]",0.5,0.975,512,0.01,0.25,1.2807,0.6771,17
38,[1024],"[(1024, 'silu')]",0.5,0.975,512,0.01,0.2,1.2817,0.7085,19
39,[1024],"[(1024, 'leaky_relu')]",0.5,0.95,512,0.01,0.15,1.2818,0.7081,19
40,[1024],"[(1024, 'gelu')]",0.1,0.975,258,0.01,0.2,1.2821,0.7047,35
41,[512],"[(512, 'gelu')]",0.5,0.96,512,0.01,0.25,1.2828,0.6914,22
42,[1024],"[(1024, 'silu')]",0.5,0.9,512,0.01,0.25,1.2841,0.708,20
43,[512],"[(512, 'silu')]",0.5,0.96,512,0.01,0.25,1.2844,0.7037,35
44,[1024],"[(1024, 'leaky_relu')]",0.5,0.975,512,0.01,0.25,1.2846,0.705,23
45,[1024],"[(1024, 'leaky_relu')]",0.5,0.9,512,0.01,0.15,1.2863,0.682,18
46,[1024],"[(1024, 'gelu')]",0.5,0.96,512,0.01,0.25,1.2871,0.6871,21
47,[1024],"[(1024, 'silu')]",0.1,0.975,258,0.01,0.25,1.2873,0.7089,33
48,[512],"[(512, 'gelu')]",0.5,0.96,512,0.01,0.15,1.292,0.6979,21
49,[512],"[(512, 'silu')]",0.5,0.95,258,0.01,0.25,1.2924,0.6839,22
50,[1024],"[(1024, 'gelu')]",0.1,0.95,258,0.01,0.25,1.2927,0.6848,42
51,[1024],"[(1024, 'silu')]",0.3,0.96,512,0.01,0.2,1.2938,0.6985,35
52,[1024],"[(1024, 'leaky_relu')]",0.1,0.975,258,0.01,0.15,1.2946,0.6956,71
53,[512],"[(512, 'leaky_relu')]",0.5,0.95,512,0.01,0.25,1.2952,0.6992,26
54,[512],"[(512, 'silu')]",0.5,0.95,258,0.01,0.15,1.2959,0.7113,21
55,[512],"[(512, 'silu')]",0.5,0.95,512,0.01,0.15,1.296,0.6916,16
56,[512],"[(512, 'silu')]",0.5,0.95,512,0.01,0.2,1.2971,0.6942,23
57,[1024],"[(1024, 'leaky_relu')]",0.5,0.96,512,0.01,0.15,1.2983,0.7152,23
58,[1024],"[(1024, 'gelu')]",0.5,0.975,512,0.01,0.25,1.2992,0.6984,17
59,[512],"[(512, 'leaky_relu')]",0.3,0.96,258,0.01,0.25,1.3,0.6887,18
60,[1024],"[(1024, 'leaky_relu')]",0.3,0.9,512,0.01,0.2,1.3013,0.6964,19
61,[512],"[(512, 'leaky_relu')]",0.5,0.95,512,0.01,0.2,1.3018,0.6849,18
62,[1024],"[(1024, 'leaky_relu')]",0.5,0.975,512,0.01,0.2,1.3022,0.7002,24
63,[512],"[(512, 'leaky_relu')]",0.5,0.975,512,0.01,0.15,1.3026,0.6893,21
64,[1024],"[(1024, 'silu')]",0.5,0.975,512,0.01,0.15,1.3026,0.7013,20
65,[512],"[(512, 'silu')]",0.5,0.9,512,0.01,0.25,1.3027,0.6882,32
66,[512],"[(512, 'gelu')]",0.5,0.95,512,0.01,0.2,1.3034,0.697,31
67,[512],"[(512, 'silu')]",0.1,0.95,258,0.01,0.25,1.3035,0.7011,41
68,[512],"[(512, 'silu')]",0.5,0.9,512,0.01,0.2,1.305,0.6867,20
69,[1024],"[(1024, 'leaky_relu')]",0.5,0.95,512,0.01,0.25,1.305,0.698,18
70,[1024],"[(1024, 'silu')]",0.5,0.95,512,0.01,0.15,1.3053,0.7143,25
71,[512],"[(512, 'leaky_relu')]",0.5,0.96,512,0.01,0.2,1.3054,0.6826,24
72,[1024],"[(1024, 'silu')]",0.3,0.9,258,0.01,0.2,1.3055,0.6905,15
73,[1024],"[(1024, 'leaky_relu')]",0.1,0.975,258,0.01,0.25,1.3056,0.6873,21
74,[512],"[(512, 'leaky_relu')]",0.5,0.96,258,0.01,0.25,1.3057,0.6844,25
75,[512],"[(512, 'silu')]",0.5,0.975,258,0.01,0.25,1.3059,0.7005,27
76,[1024],"[(1024, 'leaky_relu')]",0.5,0.95,512,0.01,0.2,1.306,0.6945,20
77,[512],"[(512, 'leaky_relu')]",0.5,0.96,512,0.01,0.25,1.3069,0.6808,21
78,[512],"[(512, 'gelu')]",0.5,0.975,512,0.01,0.15,1.3076,0.6748,20
79,[1024],"[(1024, 'leaky_relu')]",0.5,0.96,512,0.01,0.1,1.308,0.7075,19
80,[1024],"[(1024, 'leaky_relu')]",0.3,0.96,512,0.01,0.25,1.3092,0.7158,30
81,[512],"[(512, 'silu')]",0.5,0.975,512,0.01,0.2,1.3098,0.7028,32
82,[512],"[(512, 'gelu')]",0.1,0.96,258,0.01,0.2,1.3103,0.6913,39
83,[512],"[(512, 'silu')]",0.1,0.975,258,0.01,0.25,1.3113,0.7003,56
84,[512],"[(512, 'leaky_relu')]",0.3,0.975,512,0.01,0.25,1.3121,0.6906,27
85,[512],"[(512, 'silu')]",0.5,0.9,258,0.01,0.25,1.3128,0.6965,22
86,[1024],"[(1024, 'leaky_relu')]",0.3,0.9,512,0.01,0.25,1.3129,0.7012,21
87,[1024],"[(1024, 'gelu')]",0.5,0.9,512,0.01,0.25,1.3135,0.6835,19
88,[1024],"[(1024, 'silu')]",0.3,0.9,512,0.01,0.25,1.3143,0.7045,16
