,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
1,[512],"[(512, 'gelu')]",0.5,0.97,258,0.01,0.1,1.2888,0.7006,25
2,[256],"[(256, 'leaky_relu')]",0.5,0.97,512,0.01,0.1,1.3093,0.6896,23
3,[512],"[(512, 'silu')]",0.5,0.97,258,0.01,0.1,1.3246,0.7004,26
4,[512],"[(512, 'silu')]",0.5,0.97,512,0.01,0.01,1.3286,0.6979,18
5,[512],"[(512, 'gelu')]",0.5,0.97,512,0.01,0.1,1.3288,0.6815,20
6,[512],"[(512, 'leaky_relu')]",0.5,0.97,512,0.01,0.1,1.3327,0.6887,20
7,[512],"[(512, 'gelu')]",0.5,0.99,512,0.01,0.1,1.3362,0.6819,19
8,[512],"[(512, 'leaky_relu')]",0.5,0.99,512,0.01,0.1,1.338,0.7119,20
9,[512],"[(512, 'silu')]",0.5,0.99,512,0.01,0.1,1.3484,0.6852,18
10,[512],"[(512, 'gelu')]",0.3,0.97,512,0.01,0.1,1.3525,0.6975,19
11,[256],"[(256, 'gelu')]",0.5,0.97,258,0.01,0.1,1.3553,0.6787,22
12,[512],"[(512, 'leaky_relu')]",0.5,0.97,512,0.01,0.01,1.3635,0.6929,24
13,[512],"[(512, 'silu')]",0.5,0.99,258,0.01,0.1,1.3642,0.6807,19
14,[512],"[(512, 'gelu')]",0.5,0.97,512,0.01,0.001,1.3649,0.6901,21
15,[512],"[(512, 'leaky_relu')]",0.5,0.99,512,0.01,0.01,1.3661,0.6974,20
16,[256],"[(256, 'leaky_relu')]",0.3,0.97,512,0.01,0.1,1.3666,0.6786,19
17,[512],"[(512, 'silu')]",0.5,0.97,512,0.01,0.001,1.3669,0.6875,18
18,[512],"[(512, 'leaky_relu')]",0.5,0.97,258,0.01,0.1,1.3693,0.6888,19
19,[512],"[(512, 'leaky_relu')]",0.3,0.97,512,0.01,0.01,1.3745,0.6963,18
20,[256],"[(256, 'silu')]",0.5,0.97,512,0.01,0.1,1.3759,0.6836,23
21,[256],"[(256, 'silu')]",0.5,0.97,512,0.01,0.01,1.3773,0.6689,20
22,[256],"[(256, 'leaky_relu')]",0.5,0.97,512,0.01,0.001,1.3816,0.6837,29
23,[512],"[(512, 'leaky_relu')]",0.5,0.99,512,0.01,0.001,1.3821,0.6873,18
24,[512],"[(512, 'silu')]",0.5,0.97,512,0.01,0.1,1.3834,0.6896,22
25,[512],"[(512, 'silu')]",0.3,0.97,512,0.01,0.1,1.3848,0.69,18
26,[512],"[(512, 'leaky_relu')]",0.3,0.97,512,0.01,0.1,1.3852,0.6869,18
27,[256],"[(256, 'silu')]",0.5,0.97,258,0.01,0.1,1.3892,0.6743,19
28,[256],"[(256, 'silu')]",0.5,0.99,512,0.01,0.01,1.3927,0.6796,21
29,[512],"[(512, 'gelu')]",0.3,0.97,258,0.01,0.1,1.396,0.6912,17
30,[256],"[(256, 'gelu')]",0.5,0.97,512,0.01,0.001,1.4,0.658,22
